,index,title,address,price,lat,long,restaurants,shopping,vibrant,cycling_friendly,car_friendly,historic,quiet,elementary_schools,high_schools,parks,nightlife,groceries,daycares,pedestrian_friendly,cafes,transit_friendly,greenery,year_built,population_2016_,population_variation_between_2011_2016_,population_density_,unemployment_rate_2016_,"less_than_$50,000_(%)","between_$50,000_and_$80,000_(%)","between_$80,000_and_$100,000_(%)","between_$100,000_and_$150,000_(%)","more_than_$150,000_(%)",1-person_households_(%),2-person_households_(%),3-person_households_(%),4-person_households_(%),5-person_or_more_households_(%),couples_without_children_at_home_(%),couples_with_children_at_home_(%),single-parent_families_(%),owners_(%),renters_(%),before_1960_(%),between_1961_and_1980_(%),between_1981_and_1990_(%),between_1991_and_2000_(%),between_2001_and_2010_(%),between_2011_and_2016_(%),single-family_homes_(%),semi-detached_or_row_houses_(%),buildings_with_less_than_5_floors_(%),buildings_with_5_or_more_floors_(%),mobile_homes_(%),university_(%),college_(%),secondary_(high)_school_(%),apprentice_or_trade_school_diploma_(%),no_diploma_(%),non-immigrant_population_(%),immigrant_population_(%),french_(%),english_(%),others_languages_(%),walk_score,rooms,bedrooms,basement_bedroom,bathrooms,powder_rooms,total_area,new_area_from_price,new_area_from_rooms,river_proximity,has_pool,n_parking,has_garage,is_devided,mr_distance
56,89,Condo for sale,"950, Rue Notre-Dame Ouest, apt. 628, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",375000,45.496512,-73.56167,10.0,10.0,10.0,8.0,4.0,6.0,5.0,10.0,4.0,10,10.0,10.0,9.0,10.0,10.0,10.0,3.0,2010.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,88.0,3.0,1.0,False,1.0,0.0,513.0,513.0,513.0,False,False,1.0,True,1,2.977127256590476
57,91,Condo for sale,"2385, Rue des Équinoxes, apt. 508, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc",488000,45.51887022,-73.71077415,6.0,6.0,2.0,4.0,10.0,2.0,0.0,7.0,10.0,6,2.0,9.0,10.0,6.0,5.0,7.0,3.0,2017.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,33.0,7.0,2.0,False,2.0,0.0,830.0,830.0,830.0,False,True,1.0,True,1,8.922503081065774
58,92,Condo for sale,"2300, Rue Wilfrid-Reid, apt. 404, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc",608000,45.51804937,-73.71193448,6.0,6.0,2.0,4.0,10.0,2.0,0.0,7.0,10.0,6,2.0,9.0,10.0,6.0,5.0,7.0,3.0,2019.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,37.0,5.0,3.0,False,2.0,0.0,1054.0,1054.0,1054.0,False,False,1.0,True,1,8.99587396864335
59,94,Condo for sale,"2555, Rue Grenet, apt. 210, Montréal (Saint-Laurent), Neighbourhood Others",299000,45.52261936,-73.7046512,6.0,7.0,3.0,4.0,7.0,2.0,4.0,10.0,7.0,8,3.0,8.0,10.0,8.0,5.0,9.0,5.0,2011.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,52.0,6.0,2.0,False,1.0,0.0,687.0,687.0,687.0,False,False,1.0,True,1,8.541512208783914
60,96,Condo for sale,"5231, Rue Riviera, apt. 303, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East",227000,45.51509,-73.827906,4.0,3.0,1.0,5.0,9.0,0.0,8.0,5.0,9.0,9,3.0,6.0,4.0,4.0,3.0,4.0,6.0,1987.0,69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,36.0,8.0,2.0,False,1.0,0.0,939.0,939.0,939.0,False,False,1.0,False,1,17.94533549671202
61,97,Condo for sale,"4805A, Avenue Victoria, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",449000,45.4862473,-73.61941796,9.0,9.0,5.0,3.0,8.0,4.0,7.0,9.0,9.0,8,4.0,7.0,8.0,8.0,6.0,9.0,8.0,1931.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,54.0,6.0,1.0,False,1.0,0.0,848.0,848.0,848.0,False,False,0.0,False,1,2.627731201469455
62,98,Condo for sale,"836, 7e Avenue, apt. 002, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Pointe-aux-Trembles",189995,45.63856956,-73.49664083,4.0,4.0,3.0,8.0,8.0,3.0,9.0,9.0,7.0,6,4.0,7.0,8.0,5.0,5.0,4.0,5.0,2013.0,106743,0,2515,7,38,25,12,17,8,28,32,17,15,8,34,43,23,64,36,13,28,31,14,11,3,26,24,47,3,0,16,17,25,18,24,76,24,71.0,16.0,13.0,41.0,6.0,1.0,False,1.0,0.0,611.0,611.0,611.0,False,False,1.0,False,1,16.865031388212593
63,99,Condo for sale,"1170, Rue Berri, apt. 35, Montréal (Ville-Marie), Neighbourhood Central",449900,45.51413551,-73.55890409,10.0,10.0,10.0,9.0,6.0,7.0,1.0,5.0,6.0,10,10.0,10.0,9.0,10.0,10.0,10.0,4.0,1987.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,93.0,7.0,1.0,False,1.0,0.0,612.0,612.0,612.0,False,False,0.0,False,1,3.234997941630424
64,100,Condo for sale,"441, Avenue du Président-Kennedy, apt. 1101, Montréal (Ville-Marie), Neighbourhood Central",399000,45.506778,-73.570528,10.0,10.0,10.0,8.0,5.0,7.0,3.0,9.0,9.0,10,10.0,10.0,9.0,10.0,10.0,10.0,5.0,2007.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,99.0,6.0,2.0,False,2.0,0.0,818.0,818.0,818.0,False,False,0.0,False,1,2.1631337569517197
65,102,Condo for sale,"6340, 21e Avenue, apt. 201, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Rosemont North",399700,45.561063,-73.578517,8.0,9.0,5.0,7.0,6.0,4.0,8.0,9.0,8.0,9,5.0,10.0,10.0,10.0,6.0,9.0,5.0,2004.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,63.0,5.0,2.0,False,1.0,0.0,1042.0,1042.0,1042.0,False,False,1.0,True,1,6.465758656235253
66,103,Condo for sale,"2372, Avenue de Hampton, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",325000,45.467887,-73.62003008,8.0,8.0,5.0,6.0,6.0,6.0,2.0,9.0,9.0,8,4.0,10.0,10.0,10.0,6.0,9.0,9.0,1924.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,83.0,8.0,2.0,False,2.0,1.0,1288.0,1288.0,1288.0,False,False,0.0,False,0,4.421289544555046
69,107,Condo for sale,"555, boulevard René-Lévesque Est, apt. 803, Montréal (Ville-Marie), Neighbourhood Central",379000,45.51437,-73.556781,10.0,10.0,10.0,9.0,6.0,7.0,3.0,5.0,5.0,10,10.0,10.0,10.0,10.0,10.0,10.0,4.0,2010.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,92.0,4.0,1.0,False,1.0,0.0,636.0,636.0,636.0,False,True,0.0,False,1,3.3999243570885573
71,111,Condo for sale,"412, Rue Saint-Claude, apt. 307, Montréal (Ville-Marie), Neighbourhood Old Montréal",995000,45.50860925,-73.55221964,10.0,10.0,10.0,8.0,5.0,9.0,5.0,4.0,2.0,10,10.0,10.0,10.0,10.0,10.0,10.0,4.0,1999.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,87.0,6.0,3.0,False,2.0,0.0,1704.0,1704.0,1704.0,False,False,1.0,True,1,3.603975194402114
72,112,Condo for sale,"1150, Rue Saint-Denis, apt. 512, Montréal (Ville-Marie), Neighbourhood Central",369000,45.51279792,-73.55850935,10.0,10.0,10.0,9.0,5.0,7.0,2.0,5.0,5.0,10,10.0,10.0,8.0,10.0,10.0,10.0,3.0,2013.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,93.0,4.0,1.0,False,1.0,0.0,538.0,538.0,538.0,False,False,0.0,False,1,3.2186333588342046
73,113,Condo for sale,"2000, boulevard René-Lévesque Ouest, apt. 405, Montréal (Ville-Marie), Neighbourhood Central West",515888,45.489532,-73.578687,10.0,10.0,10.0,4.0,6.0,7.0,0.0,10.0,10.0,10,9.0,9.0,8.0,9.0,10.0,10.0,7.0,2019.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,87.0,5.0,2.0,False,1.0,0.0,638.0,638.0,638.0,False,True,0.0,False,1,2.254242483702472
74,114,Condo for sale,"733, Rue Argyle, apt. 6, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",460000,45.452986,-73.574416,7.0,7.0,5.0,9.0,6.0,5.0,8.0,10.0,5.0,10,4.0,9.0,8.0,10.0,6.0,8.0,5.0,2019.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,78.0,4.0,2.0,False,1.0,0.0,914.0,914.0,914.0,False,False,0.0,True,1,6.0245079239288915
75,118,Condo for sale,"4595, Rue de Mentana, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",549000,45.527863,-73.581948,10.0,10.0,10.0,10.0,2.0,7.0,8.0,10.0,6.0,10,10.0,10.0,8.0,10.0,10.0,10.0,9.0,1910.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,92.0,5.0,2.0,False,1.0,0.0,1008.0,1008.0,1008.0,False,False,0.0,False,1,2.881056644324884
77,120,Condo for sale,"6803, 25e Avenue, apt. 6, Montréal (Rosemont/La Petite-Patrie), Neighbourhood New Rosemont",275000,45.566326,-73.583963,8.0,9.0,5.0,7.0,5.0,3.0,8.0,10.0,6.0,8,5.0,10.0,10.0,10.0,6.0,8.0,6.0,2014.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,63.0,3.0,1.0,False,1.0,0.0,640.0,640.0,640.0,False,False,0.0,False,1,6.956151118776855
78,121,Condo for sale,"485, Rue Brault, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",399000,45.447904,-73.572205,6.0,6.0,4.0,9.0,7.0,5.0,8.0,10.0,5.0,10,5.0,8.0,8.0,9.0,6.0,7.0,7.0,1997.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,61.0,5.0,1.0,False,1.0,1.0,816.0,816.0,816.0,False,False,2.0,True,1,6.615272486503779
79,122,Condo for sale,"2204, Rue Harmony, Montréal (Ville-Marie), Neighbourhood Central",779000,45.531297,-73.558324,10.0,10.0,10.0,10.0,4.0,7.0,7.0,10.0,10.0,10,10.0,10.0,10.0,10.0,9.0,9.0,6.0,1900.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,84.0,10.0,4.0,False,1.0,0.0,1600.0,1600.0,1600.0,False,False,0.0,False,0,4.2949865026220655
80,123,Condo for sale,"88, Rue Gary-Carter, apt. 116, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",362000,45.535617,-73.621912,10.0,10.0,8.0,9.0,7.0,6.0,2.0,9.0,7.0,10,7.0,9.0,8.0,10.0,9.0,10.0,5.0,2017.0,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,83.0,4.0,1.0,False,1.0,0.0,398.0,398.0,398.0,False,False,0.0,False,1,3.9202939870515268
81,124,Condo for sale,"2484, Rue Marie-Anne Est, apt. 4, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",369000,45.53798509,-73.56664034,10.0,10.0,9.0,9.0,5.0,6.0,5.0,10.0,7.0,10,8.0,10.0,8.0,10.0,9.0,9.0,5.0,2019.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,85.0,3.0,1.0,False,1.0,0.0,517.0,517.0,517.0,False,False,0.0,False,1,4.452537024588745
82,125,Condo for sale,"299, Rue de la Rotonde, apt. 1109, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",592000,45.47299,-73.538362,6.0,5.0,3.0,5.0,10.0,0.0,9.0,1.0,3.0,8,4.0,6.0,2.0,5.0,4.0,6.0,3.0,2014.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,35.0,5.0,2.0,False,2.0,0.0,851.0,851.0,851.0,True,True,2.0,True,1,5.831729194157256
83,126,Condo for sale,"2000, boulevard René-Lévesque Ouest, apt. 1402, Montréal (Ville-Marie), Neighbourhood Central",819000,45.48944174,-73.57894449,10.0,10.0,10.0,4.0,6.0,7.0,0.0,10.0,10.0,10,9.0,9.0,8.0,9.0,10.0,10.0,7.0,2019.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,8.0,3.0,False,2.0,0.0,974.0,974.0,974.0,False,True,1.0,True,1,2.248312030058473
84,128,Condo for sale,"1188, Rue Saint-Antoine Ouest, apt. 1105, Montréal (Ville-Marie), Neighbourhood Central",459000,45.49576785,-73.56758125,10.0,10.0,10.0,6.0,4.0,6.0,0.0,9.0,7.0,10,10.0,9.0,8.0,10.0,10.0,10.0,5.0,2019.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,94.0,4.0,1.0,False,1.0,0.0,530.0,530.0,530.0,False,True,0.0,False,1,2.571792208355787
85,129,Condo for sale,"4755, boulevard Métropolitain Est, apt. 608, Montréal (Saint-Léonard)",319900,45.577863,-73.594171,7.0,8.0,5.0,5.0,7.0,2.0,0.0,8.0,7.0,7,4.0,10.0,10.0,8.0,6.0,8.0,4.0,2014.0,78305,3,5813,11,48,27,9,10,5,30,29,16,15,9,30,49,21,35,65,14,64,8,5,6,2,6,3,83,8,0,22,16,23,14,26,51,49,44.0,22.0,34.0,64.0,5.0,2.0,False,1.0,0.0,883.0,883.0,883.0,False,False,1.0,True,1,8.157008331120577
86,132,Condo for sale,"2750, boulevard de la Côte-Vertu, apt. 804, Montréal (Saint-Laurent), Neighbourhood Saint-Laurent West",419000,45.501231,-73.698478,6.0,8.0,3.0,5.0,8.0,0.0,9.0,5.0,7.0,6,2.0,8.0,4.0,7.0,5.0,7.0,4.0,1993.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,37.0,5.0,2.0,False,2.0,0.0,1192.0,1192.0,1192.0,False,True,1.0,True,1,7.831239137237142
87,133,Condo for sale,"542, Rue De La Noue, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",465000,45.462004,-73.550518,5.0,5.0,2.0,8.0,8.0,0.0,8.0,5.0,1.0,8,1.0,9.0,6.0,5.0,3.0,5.0,9.0,1988.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,35.0,6.0,2.0,False,1.0,0.0,1067.0,1067.0,1067.0,False,False,1.0,True,1,6.012625550494997
88,134,Condo for sale,"1800, boulevard Angrignon, apt. 711, Montréal (LaSalle)",485000,45.44704177,-73.60887055,7.0,9.0,4.0,5.0,10.0,2.0,3.0,7.0,3.0,10,3.0,9.0,5.0,7.0,6.0,10.0,5.0,2013.0,76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,46.0,9.0,3.0,False,2.0,0.0,967.0,967.0,967.0,False,True,1.0,True,1,6.450262705234462
89,137,Condo for sale,"109, Rue Charlotte, apt. 506, Montréal (Ville-Marie), Neighbourhood Central",499000,45.510464,-73.561933,10.0,10.0,10.0,8.0,4.0,7.0,6.0,5.0,7.0,10,10.0,10.0,9.0,10.0,10.0,10.0,3.0,2011.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,95.0,4.0,1.0,False,1.0,0.0,794.0,794.0,794.0,False,False,1.0,True,1,2.894220311529529
90,138,Condo for sale,"7639, Avenue Léonard-De Vinci, apt. 6, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Saint-Michel",274000,45.5660642,-73.60014607,8.0,9.0,5.0,5.0,6.0,2.0,0.0,10.0,10.0,10,5.0,10.0,10.0,9.0,7.0,9.0,4.0,2011.0,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,71.0,6.0,2.0,False,1.0,0.0,693.0,693.0,693.0,False,False,1.0,False,1,6.841137817852291
91,139,Condo for sale,"3719, Rue de Mentana, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",535000,45.521934,-73.568508,10.0,10.0,10.0,10.0,4.0,7.0,5.0,9.0,10.0,10,10.0,10.0,9.0,10.0,10.0,10.0,8.0,1900.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,93.0,7.0,3.0,False,1.0,0.0,1045.0,1045.0,1045.0,False,False,0.0,False,1,3.008589876832059
92,141,Condo for sale,"5620, Rue De La Roche, apt. 105, Montréal (Rosemont/La Petite-Patrie), Neighbourhood La Petite-Patrie",539000,45.53504267,-73.59278575,10.0,10.0,9.0,10.0,3.0,6.0,3.0,10.0,9.0,10,9.0,10.0,10.0,10.0,9.0,9.0,6.0,2019.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,78.0,9.0,2.0,False,1.0,1.0,820.0,820.0,820.0,False,False,1.0,True,1,3.4150809308351686
93,144,Condo for sale,"1414, Rue Chomedey, apt. 247, Montréal (Ville-Marie), Neighbourhood Central West",460000,45.49053841,-73.5836932,10.0,10.0,10.0,4.0,4.0,7.0,3.0,10.0,10.0,10,10.0,10.0,9.0,10.0,10.0,10.0,4.0,2013.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,95.0,6.0,2.0,False,1.0,0.0,656.0,656.0,656.0,False,False,0.0,False,1,1.9213027308404127
94,145,Condo for sale,"4983, Rue Duchesneau, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",269000,45.611374,-73.530407,5.0,6.0,2.0,4.0,8.0,2.0,10.0,7.0,3.0,6,4.0,7.0,9.0,5.0,4.0,6.0,2.0,2011.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,46.0,7.0,2.0,False,1.0,0.0,963.0,963.0,963.0,False,False,0.0,False,1,12.994440916958458
95,149,Condo for sale,"5216, Rue Marquette, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",449000,45.535867,-73.5837,10.0,10.0,9.0,10.0,4.0,6.0,5.0,8.0,6.0,9,9.0,10.0,8.0,10.0,9.0,9.0,8.0,1920.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,82.0,6.0,2.0,False,1.0,0.0,1084.0,1084.0,1084.0,False,False,0.0,False,0,3.6579075707450173
96,151,Condo for sale,"61A, Avenue Strathyre, Montréal (LaSalle)",259000,45.427859,-73.659182,5.0,4.0,3.0,7.0,9.0,3.0,9.0,8.0,8.0,9,2.0,5.0,10.0,5.0,6.0,7.0,7.0,2013.0,76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,16.0,6.0,2.0,True,1.0,0.0,829.0,829.0,829.0,False,False,0.0,False,1,9.768390210624075
97,153,Condo for sale,"454, Rue De La Gauchetière Ouest, apt. 103C, Montréal (Ville-Marie), Neighbourhood Central West",848000,45.5031,-73.563381,10.0,10.0,10.0,5.0,5.0,7.0,7.0,8.0,6.0,10,10.0,9.0,10.0,10.0,10.0,10.0,3.0,1905.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,95.0,5.0,1.0,False,1.0,0.0,1207.0,1207.0,1207.0,False,False,1.0,True,1,2.710887124464386
98,155,Condo for sale,"2365, Rue Saint-Patrick, apt. A101, Montréal (Le Sud-Ouest), Neighbourhood Pointe-Saint-Charles",990000,45.482041,-73.569347,10.0,10.0,7.0,10.0,7.0,6.0,5.0,7.0,5.0,10,7.0,9.0,5.0,10.0,8.0,9.0,5.0,2015.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,78.0,5.0,2.0,False,2.0,0.0,1256.0,1256.0,1256.0,False,True,1.0,True,1,3.3604666769746085
99,156,Condo for sale,"3419, Avenue Henri-Julien, apt. 402, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",1299000,45.516279,-73.568103,10.0,10.0,10.0,10.0,6.0,7.0,0.0,9.0,9.0,10,10.0,10.0,8.0,10.0,10.0,10.0,4.0,2005.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,95.0,7.0,2.0,False,2.0,0.0,1628.0,1628.0,1628.0,False,True,2.0,True,1,2.6765834603733216
100,159,Condo for sale,"8635, Rue Lajeunesse, apt. 306, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",349000,45.54611648,-73.63622815,9.0,10.0,7.0,7.0,5.0,5.0,0.0,10.0,9.0,9,5.0,10.0,8.0,10.0,7.0,10.0,5.0,2012.0,143853,1,8692,11,58,23,8,8,3,40,29,14,11,7,33,42,25,28,72,49,33,6,4,4,3,3,2,91,4,0,29,14,20,11,26,56,44,57.0,10.0,33.0,75.0,5.0,1.0,False,1.0,0.0,595.0,595.0,595.0,False,True,1.0,True,1,5.49328812166709
101,161,Condo for sale,"1321, Rue Sherbrooke Ouest, apt. A 90, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",1750000,45.49953808,-73.57920917,10.0,10.0,10.0,6.0,6.0,7.0,1.0,7.0,9.0,8,10.0,10.0,9.0,10.0,10.0,10.0,4.0,1927.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,96.0,7.0,3.0,False,2.0,2.0,2283.0,2283.0,2283.0,False,False,1.0,True,0,1.5747679693197376
102,166,Condo for sale,"5777, 16e Avenue, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont",429000,45.556588,-73.577292,9.0,9.0,7.0,8.0,5.0,4.0,4.0,10.0,10.0,8,6.0,10.0,9.0,10.0,6.0,8.0,8.0,1948.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,71.0,9.0,3.0,False,1.0,0.0,1250.0,1250.0,1250.0,False,False,0.0,False,0,6.008420539528602
103,167,Condo for sale,"11900, Rue Dulongpré, apt. 303, Montréal (Ahuntsic-Cartierville), Neighbourhood Cartierville",289000,45.52586693,-73.71180547,6.0,6.0,3.0,4.0,7.0,2.0,4.0,8.0,6.0,7,4.0,9.0,8.0,8.0,6.0,9.0,5.0,2011.0,134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,52.0,5.0,2.0,False,1.0,0.0,745.0,745.0,745.0,False,False,0.0,False,1,9.170635651718058
104,168,Condo for sale,"1070, Rue Berri, apt. 25, Montréal (Ville-Marie), Neighbourhood Central",449900,45.51301282,-73.55700458,10.0,10.0,10.0,9.0,4.0,7.0,3.0,4.0,5.0,10,10.0,10.0,9.0,10.0,10.0,10.0,5.0,1987.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,7.0,1.0,False,1.0,0.0,611.0,611.0,611.0,False,False,0.0,False,1,3.3378544576044074
