,address,lat,long,price,total_area,restaurants,vibrant,cycling_friendly,historic,parks,groceries,pedestrian_friendly,transit_friendly,greenery,year_built,unemployment_rate_2016_,bathrooms,powder_rooms,river_proximity,has_pool,has_garage
1924,"1550, Rue des Bassins, apt. 401, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.488835,-73.562777,674900,940.0,10.0,8.0,9.0,6.0,10,9.0,10.0,9.0,3.0,2020.0,8,2.0,0.0,False,True,True
1925,"1375, Rue des Bassins, apt. 406, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.49073789,-73.56034155,344000,463.0,10.0,9.0,9.0,6.0,10,10.0,10.0,9.0,5.0,2017.0,8,1.0,0.0,False,True,False
1926,"2308, Rue Hogan, Montréal (Ville-Marie), Neighbourhood Central",45.536699,-73.555568,399000,990.0,10.0,8.0,8.0,6.0,10,10.0,10.0,9.0,7.0,1915.0,10,1.0,0.0,False,False,False
1927,"28Z, Rue Notre-Dame Est, apt. 401, Montréal (Ville-Marie), Neighbourhood Old Montréal",45.50664,-73.555054,899000,2606.0,10.0,10.0,7.0,10.0,10,10.0,10.0,10.0,5.0,1836.0,10,2.0,0.0,False,False,True
1928,"12493, Rue Ranger, Montréal (Ahuntsic-Cartierville), Neighbourhood Cartierville",45.53426247,-73.72363653,219000,790.0,6.0,3.0,5.0,4.0,7,8.0,7.0,7.0,8.0,1945.0,10,1.0,0.0,False,False,False
1929,"12491, Rue Ranger, Montréal (Ahuntsic-Cartierville), Neighbourhood Cartierville",45.5342824,-73.723603,319000,1693.0,6.0,3.0,5.0,4.0,7,8.0,7.0,7.0,8.0,1945.0,10,1.0,0.0,False,False,False
1930,"2710, Avenue Charlemagne, apt. 202, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve",45.552325,-73.552866,399000,984.0,8.0,5.0,10.0,5.0,10,10.0,9.0,9.0,7.0,2003.0,9,1.0,0.0,False,False,True
1931,"300, Rue Ann, apt. 409, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.495347,-73.559857,399900,515.0,10.0,10.0,9.0,6.0,9,10.0,10.0,10.0,4.0,2012.0,8,1.0,0.0,False,True,True
1932,"1205, Rue MacKay, apt. 610, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",45.495214,-73.575353,366000,498.0,10.0,10.0,4.0,7.0,10,10.0,10.0,10.0,5.0,2015.0,10,1.0,0.0,False,False,False
1933,"210, Chemin du Golf, apt. 616, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.46800424,-73.54777228,719000,1098.0,6.0,3.0,9.0,0.0,10,9.0,8.0,7.0,7.0,2004.0,8,2.0,0.0,True,True,True
1934,"10, Allée des Brises-du-Fleuve, apt. 703, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",45.46081794,-73.56124156,499000,906.0,7.0,4.0,7.0,5.0,10,9.0,9.0,8.0,6.0,1998.0,8,1.0,0.0,False,True,True
1935,"1414, Rue Chomedey, apt. 432, Montréal (Ville-Marie), Neighbourhood Central West",45.490749,-73.583543,359000,509.0,10.0,10.0,5.0,7.0,10,10.0,10.0,10.0,5.0,2012.0,10,1.0,0.0,False,True,False
1936,"11015, boulevard Cavendish, apt. 408, Montréal (Saint-Laurent), Neighbourhood Others",45.500023,-73.701256,429000,1292.0,7.0,3.0,6.0,0.0,7,9.0,7.0,9.0,3.0,1982.0,10,2.0,0.0,False,True,True
1937,"1171, Croissant du Collège, apt. 301, Montréal (LaSalle)",45.437855,-73.602788,479000,1317.0,5.0,3.0,6.0,0.0,10,9.0,5.0,6.0,8.0,1987.0,10,1.0,0.0,False,False,True
